,YEAR,mes,value
0,1994,1,23.110642403995648
1,1994,2,20.312491924104677
2,1994,3,14.984524104740125
3,1994,4,15.198755329635743
4,1994,5,10.893335044176412
5,1994,6,16.198269596004597
6,1994,7,18.2590549335641
7,1994,8,14.385948577433128
8,1994,9,10.581138696702649
9,1994,10,12.439887931744291
10,1994,11,17.2681778589393
11,1994,12,18.382786027980767
12,1995,1,21.65494813231154
13,1995,2,17.488142821625964
14,1995,3,17.87182315174549
15,1995,4,16.160100119254363
16,1995,5,16.662986432202274
17,1995,6,21.31909344754371
18,1995,7,17.403791435481576
19,1995,8,17.268698775531618
20,1995,9,12.296695472504153
21,1995,10,15.627531990973557
22,1995,11,19.427709785502387
23,1995,12,28.003930376193146
24,1996,1,29.11449296102177
25,1996,2,23.131119650696586
26,1996,3,20.75076350904978
27,1996,4,17.37426233982482
28,1996,5,18.289773524635628
29,1996,6,22.15194299261692
30,1996,7,21.348412656858127
31,1996,8,22.212271844324174
32,1996,9,18.30880205861956
33,1996,10,19.67072366763985
34,1996,11,18.615084764461443
35,1996,12,29.171902446726623
36,1997,1,26.119362349522895
37,1997,2,21.39244952556922
38,1997,3,18.858707205858746
39,1997,4,17.437077179662595
40,1997,5,14.655162989410991
41,1997,6,20.964775467733958
42,1997,7,19.525634625972906
43,1997,8,18.737569865926
44,1997,9,12.60780638614318
45,1997,10,15.83526947372547
46,1997,11,19.041192443237623
47,1997,12,23.318267303017937
48,1998,1,20.63314019216772
49,1998,2,20.807495542981165
50,1998,3,20.762535811165034
51,1998,4,18.140537316669832
52,1998,5,19.266046878095143
53,1998,6,25.291929027590175
54,1998,7,18.021793615884818
55,1998,8,18.684295250155607
56,1998,9,12.816371217906694
57,1998,10,15.514877040052058
58,1998,11,14.292553971337462
59,1998,12,23.25494013390493
60,1999,1,25.094201589197336
61,1999,2,16.57411996829707
62,1999,3,18.123307032236895
63,1999,4,21.05299365318894
64,1999,5,20.09267315075727
65,1999,6,24.978337209832628
66,1999,7,24.462764240676556
67,1999,8,20.284267092622443
68,1999,9,16.321311632131163
69,1999,10,16.879576160269625
70,1999,11,15.861303439938453
71,1999,12,19.10355276373355
72,2000,1,19.8553808156403
73,2000,2,20.646615627931673
74,2000,3,19.76088324940366
75,2000,4,20.922024854132534
76,2000,5,21.140550710051386
77,2000,6,28.363617066440245
78,2000,7,25.267202105341557
79,2000,8,25.73377075336918
80,2000,9,18.59783155580796
81,2000,10,20.664277288625478
82,2000,11,23.60786814795474
83,2000,12,29.89701437308487
84,2001,1,19.690531003509832
85,2001,2,22.37978837396196
86,2001,3,20.285849310606473
87,2001,4,17.45318337492002
88,2001,5,15.82839566743405
89,2001,6,20.64433039232647
90,2001,7,18.724463264244857
91,2001,8,20.23565677292776
92,2001,9,11.317551732430129
93,2001,10,12.738735815554895
94,2001,11,13.176771621472689
95,2001,12,17.617460202992074
96,2002,1,16.259488100913057
97,2002,2,13.258913486928556
98,2002,3,18.884294568381947
99,2002,4,15.363547351195164
100,2002,5,15.29776956133373
101,2002,6,18.524400389888765
102,2002,7,17.88677608022802
103,2002,8,15.23082328542904
104,2002,9,10.471027637466394
105,2002,10,13.862827201683873
106,2002,11,12.98985118932881
107,2002,12,18.78115305823822
108,2003,1,14.224002868998694
109,2003,2,18.318052962179582
110,2003,3,14.754300588906249
111,2003,4,11.179151265970418
112,2003,5,13.423082831567942
113,2003,6,15.825840267215414
114,2003,7,17.888779879978802
115,2003,8,18.272517702483373
116,2003,9,12.129865798519653
117,2003,10,11.811829027644514
118,2003,11,17.308030921803734
119,2003,12,20.71539797837964
120,2004,1,21.001837369667477
121,2004,2,19.69827181535217
122,2004,3,16.41786329504566
123,2004,4,15.230114757191624
124,2004,5,19.503681511026027
125,2004,6,24.234704275873316
126,2004,7,21.190850682063157
127,2004,8,18.996255859748004
128,2004,9,12.175347148045288
129,2004,10,16.80734119405872
130,2004,11,18.494722977711636
131,2004,12,24.338463009142437
132,2005,1,23.078578104093967
133,2005,2,19.573214115437935
134,2005,3,20.300385400136022
135,2005,4,14.34788020696662
136,2005,5,14.45164459451986
137,2005,6,22.01232774399002
138,2005,7,25.59537933088201
139,2005,8,21.486628710548672
140,2005,9,14.358305485561242
141,2005,10,15.969644616609754
142,2005,11,17.88839470235172
143,2005,12,25.72618167777015
144,2006,1,18.437191955092754
145,2006,2,21.323414532223243
146,2006,3,21.4445397270731
147,2006,4,19.316785996778002
148,2006,5,19.44125164408486
149,2006,6,24.195950293741593
150,2006,7,23.354269819909728
151,2006,8,21.524433303856014
152,2006,9,21.00790341523959
153,2006,10,24.043922199444843
154,2006,11,20.74712084845197
155,2006,12,25.04489399065411
156,2007,1,23.215334344768557
157,2007,2,27.006881139454457
158,2007,3,22.974958112291908
159,2007,4,21.389640900157488
160,2007,5,19.905194511161177
161,2007,6,27.856756928553267
162,2007,7,26.837455285555695
163,2007,8,25.22291394641493
164,2007,9,16.300253087787638
165,2007,10,19.577073994590407
166,2007,11,17.980695663382075
167,2007,12,30.843506111808566
168,2008,1,23.63540316789514
169,2008,2,26.471270264002978
170,2008,3,24.59153695077018
171,2008,4,19.563269277710717
172,2008,5,18.948759098323748
173,2008,6,26.069348492191928
174,2008,7,21.524020951346564
175,2008,8,18.937445184303233
176,2008,9,12.540579913774616
177,2008,10,12.530092322075495
178,2008,11,14.950159763946857
179,2008,12,29.982310563382864
